checklist_id,observer_id,sampling_event_identifier,state_code,locality_id,latitude,longitude,protocol_type,all_species_reported,observation_date,time_observations_started,duration_minutes,effort_distance_km,number_observers,norbob,whiibi,woothr,route_id,bbs,type
S39830790,obs231506,S39830790,US-AL,L6340972,31.5955,-85.8345,Stationary,TRUE,2017-05-25,8.45,3,0,1,0,0,0,86,1,other
S39297188,obs178798,S39297188,US-NC,L6285346,35.2114047,-78.9810079,Traveling,TRUE,2017-05-31,9.25,210,3.219,1,0,0,0,NA,0,test_2017
S38731457,obs856370,S38731457,US-SC,L821911,33.5396062,-80.4364443,Stationary,TRUE,2017-06-23,8.5,35,0,3,0,0,1,NA,0,test_2017
S41350866,obs555245,S41350866,US-FL,L4818557,30.4745572,-84.2678571,Stationary,TRUE,2017-06-25,20.233333333333334,6,0,1,0,0,0,NA,0,test_2017
S39830789,obs231506,S39830789,US-AL,L6340971,31.6038,-85.8324,Stationary,TRUE,2017-05-25,8.35,3,0,1,0,0,0,86,1,other
S39830795,obs231506,S39830795,US-AL,L6340977,31.5634,-85.8387,Stationary,TRUE,2017-05-25,8.95,3,0,1,0,0,0,86,1,other
S39830801,obs231506,S39830801,US-AL,L6340983,31.5419,-85.8706,Stationary,TRUE,2017-05-25,9.55,3,0,1,0,0,0,86,1,other
S39830802,obs231506,S39830802,US-AL,L6340984,31.5348,-85.8728,Stationary,TRUE,2017-05-25,9.65,3,0,1,0,0,0,86,1,other
S39830804,obs231506,S39830804,US-AL,L6340986,31.5195,-85.8754,Stationary,TRUE,2017-05-25,9.866666666666667,3,0,1,0,0,0,86,1,other
S39830768,obs231506,S39830768,US-AL,L6340950,31.6786,-85.7656,Stationary,TRUE,2017-05-25,6.116666666666666,3,0,1,0,0,0,86,1,other
S39830774,obs231506,S39830774,US-AL,L6340956,31.6421,-85.7427,Stationary,TRUE,2017-05-25,6.733333333333333,3,0,1,0,0,0,86,1,other
S39830776,obs231506,S39830776,US-AL,L6340958,31.6325,-85.7477,Stationary,TRUE,2017-05-25,6.933333333333334,3,0,1,0,0,0,86,1,other
S39830783,obs231506,S39830783,US-AL,L6340965,31.6179,-85.7999,Stationary,TRUE,2017-05-25,7.733333333333333,3,0,1,0,0,0,86,1,other
S39830786,obs231506,S39830786,US-AL,L6340968,31.6202,-85.8131,Stationary,TRUE,2017-05-25,8.033333333333333,3,0,1,0,0,0,86,1,other
S39830787,obs231506,S39830787,US-AL,L6340969,31.6145,-85.8178,Stationary,TRUE,2017-05-25,8.133333333333333,3,0,1,0,0,0,86,1,other
S39830791,obs231506,S39830791,US-AL,L6340973,31.5884,-85.832,Stationary,TRUE,2017-05-25,8.55,3,0,1,0,0,0,86,1,other
S39830793,obs231506,S39830793,US-AL,L6340975,31.5745,-85.8302,Stationary,TRUE,2017-05-25,8.75,3,0,1,0,0,0,86,1,other
S39830761,obs231506,S39830761,US-AL,L6340942,31.7096,-85.8021,Stationary,TRUE,2017-05-25,5.416666666666667,3,0,1,0,0,0,86,1,other
S46700397,obs587227,S46700397,US-FL,L7569181,30.1138522,-81.7893876,Stationary,TRUE,2018-06-21,13.75,1,0,2,0,0,0,NA,0,train
S39830780,obs231506,S39830780,US-AL,L6340962,31.6174,-85.7809,Stationary,TRUE,2017-05-25,7.433333333333334,3,0,1,0,0,0,86,1,other
S39830798,obs231506,S39830798,US-AL,L6340980,31.5524,-85.8561,Stationary,TRUE,2017-05-25,9.25,3,0,1,0,0,0,86,1,other
S39830807,obs231506,S39830807,US-AL,L6340989,31.5172,-85.8534,Stationary,TRUE,2017-05-25,10.166666666666666,3,0,1,0,0,0,86,1,other
S39830775,obs231506,S39830775,US-AL,L6340957,31.6335,-85.7411,Stationary,TRUE,2017-05-25,6.833333333333333,3,0,1,0,0,0,86,1,other
S39830785,obs231506,S39830785,US-AL,L6340967,31.6262,-85.8083,Stationary,TRUE,2017-05-25,7.933333333333334,3,0,1,0,0,0,86,1,other
S39830794,obs231506,S39830794,US-AL,L6340976,31.5688,-85.8346,Stationary,TRUE,2017-05-25,8.85,3,0,1,0,0,0,86,1,other
S39830800,obs231506,S39830800,US-AL,L6340982,31.5481,-85.87,Stationary,TRUE,2017-05-25,9.45,3,0,1,0,0,0,86,1,other
S39830769,obs231506,S39830769,US-AL,L6340951,31.6708,-85.7605,Stationary,TRUE,2017-05-25,6.216666666666667,3,0,1,0,0,0,86,1,other
S39830770,obs231506,S39830770,US-AL,L6340952,31.6668,-85.754,Stationary,TRUE,2017-05-25,6.316666666666666,3,0,1,0,0,0,86,1,other
S39830773,obs231506,S39830773,US-AL,L6340955,31.6503,-85.7445,Stationary,TRUE,2017-05-25,6.616666666666667,3,0,1,0,0,0,86,1,other
S39830779,obs231506,S39830779,US-AL,L6340961,31.6252,-85.7659,Stationary,TRUE,2017-05-25,7.233333333333333,3,0,1,0,0,0,86,1,other
S39830792,obs231506,S39830792,US-AL,L6340974,31.582,-85.8326,Stationary,TRUE,2017-05-25,8.65,3,0,1,0,0,0,86,1,other
S39830758,obs231506,S39830758,US-AL,L6340939,31.6206,-85.7703,Stationary,TRUE,2017-05-25,7.333333333333333,3,0,1,0,0,0,86,1,other
S39830763,obs231506,S39830763,US-AL,L6340944,31.7039,-85.7866,Stationary,TRUE,2017-05-25,5.616666666666667,3,0,1,0,0,0,86,1,other
S39830764,obs231506,S39830764,US-AL,L6340945,31.6993,-85.7827,Stationary,TRUE,2017-05-25,5.716666666666667,3,0,1,0,0,0,86,1,other
S39830765,obs231506,S39830765,US-AL,L6340946,31.698,-85.7709,Stationary,TRUE,2017-05-25,5.816666666666666,3,0,1,0,0,1,86,1,other
S39830777,obs231506,S39830777,US-AL,L6340959,31.6327,-85.7558,Stationary,TRUE,2017-05-25,7.033333333333333,3,0,1,0,0,0,86,1,other
S39830797,obs231506,S39830797,US-AL,L6340979,31.5543,-85.851,Stationary,TRUE,2017-05-25,9.15,3,0,1,0,0,0,86,1,other
S39830803,obs231506,S39830803,US-AL,L6340985,31.5279,-85.8735,Stationary,TRUE,2017-05-25,9.766666666666667,3,0,1,0,0,0,86,1,other
S39049505,obs124398,S39049505,US-SC,L6249761,33.826835,-78.715271,Stationary,TRUE,2017-05-25,8.066666666666666,5,0,1,0,0,0,NA,0,test_2017
S39830759,obs231506,S39830759,US-AL,L6340940,31.7166,-85.8127,Stationary,TRUE,2017-05-25,5.216666666666667,3,0,1,0,0,0,86,1,other
S39830762,obs231506,S39830762,US-AL,L6340943,31.708,-85.7934,Stationary,TRUE,2017-05-25,5.516666666666667,3,0,1,0,0,0,86,1,other
S39830771,obs231506,S39830771,US-AL,L6340953,31.663,-85.7483,Stationary,TRUE,2017-05-25,6.416666666666667,3,0,1,0,0,0,86,1,other
S39830778,obs231506,S39830778,US-AL,L6340960,31.6341,-85.763,Stationary,TRUE,2017-05-25,7.133333333333334,3,0,1,0,0,0,86,1,other
S39830782,obs231506,S39830782,US-AL,L6340964,31.6086,-85.7936,Stationary,TRUE,2017-05-25,7.633333333333333,3,0,1,0,0,0,86,1,other
S39830784,obs231506,S39830784,US-AL,L6340966,31.624,-85.8034,Stationary,TRUE,2017-05-25,7.833333333333333,3,0,1,0,0,0,86,1,other
S39830796,obs231506,S39830796,US-AL,L6340978,31.5595,-85.8425,Stationary,TRUE,2017-05-25,9.05,3,0,1,0,0,0,86,1,other
S39830799,obs231506,S39830799,US-AL,L6340981,31.5533,-85.8649,Stationary,TRUE,2017-05-25,9.35,3,0,1,0,0,0,86,1,other
S39830805,obs231506,S39830805,US-AL,L6340987,31.5209,-85.8692,Stationary,TRUE,2017-05-25,9.966666666666667,3,0,1,0,0,0,86,1,other
S39830806,obs231506,S39830806,US-AL,L6340988,31.5195,-85.8613,Stationary,TRUE,2017-05-25,10.066666666666666,3,0,1,0,0,0,86,1,other
S41747891,obs896875,S41747891,US-SC,L1645031,32.3817723,-80.6897702,Traveling,TRUE,2017-05-15,9.816666666666666,30,1.609,1,0,1,0,NA,0,test_2017
S39050770,obs124398,S39050770,US-SC,L6249902,33.828292,-78.737089,Stationary,TRUE,2017-05-25,9.333333333333334,5,0,1,0,0,0,NA,0,test_2017
S38736611,obs360645,S38736611,US-KY,L1942509,37.0284797,-88.680895,Stationary,TRUE,2017-06-25,9.25,20,0,2,0,0,0,NA,0,test_2017
S38672696,obs235384,S38672696,US-VA,L6187215,37.4432466,-77.4013453,Stationary,TRUE,2017-06-01,7.416666666666667,3,0,1,0,0,0,NA,0,test_2017
S38672851,obs235384,S38672851,US-VA,L5880926,37.3743045,-77.3628278,Traveling,TRUE,2017-05-22,8.25,62,1.127,1,0,0,0,NA,0,test_2017
S38672648,obs235384,S38672648,US-VA,L6187204,37.4067562,-77.3455434,Stationary,TRUE,2017-06-01,12.1,5,0,1,0,0,0,NA,0,test_2017
S41336801,obs656121,S41336801,US-FL,L5205148,30.404835,-86.623051,Stationary,TRUE,2017-06-12,7.866666666666667,5,0,1,0,0,0,NA,0,test_2017
S41747148,obs896875,S41747148,US-SC,L656142,32.644145,-79.9622726,Traveling,TRUE,2017-05-22,10.283333333333333,48,0.805,1,0,0,0,NA,0,test_2017
S41747651,obs896875,S41747651,US-SC,L446576,32.9400467,-79.6578838,Stationary,TRUE,2017-05-22,12.483333333333333,14,0,1,0,0,0,NA,0,test_2017
S46646208,obs197280,S46646208,US-SC,L6936703,32.8978654,-79.911519,Traveling,TRUE,2018-06-18,19.416666666666668,22,0.772,1,0,0,0,NA,0,train
S39422858,obs939079,S39422858,US-VA,L6024735,36.742823,-76.671603,Stationary,TRUE,2017-06-17,9.5,30,0,1,0,0,0,NA,0,test_2017
S39049260,obs124398,S39049260,US-SC,L6249715,33.826497,-78.735374,Stationary,TRUE,2017-05-24,8.266666666666667,5,0,1,0,0,0,NA,0,test_2017
S39049305,obs124398,S39049305,US-SC,L6249719,33.825566,-78.736418,Stationary,TRUE,2017-05-24,9.1,5,0,1,0,0,0,NA,0,test_2017
S39049421,obs124398,S39049421,US-SC,L6249748,33.825312,-78.714956,Stationary,TRUE,2017-05-25,7.516666666666667,5,0,1,0,0,0,NA,0,test_2017
S39050877,obs124398,S39050877,US-SC,L6249918,33.839406,-78.735387,Stationary,TRUE,2017-05-25,10.05,5,0,1,0,0,0,NA,0,test_2017
S39072118,obs19805,S39072118,US-VA,L5210815,36.8884166,-76.1620653,Stationary,TRUE,2017-06-19,6.5,30,0,1,0,0,0,NA,0,test_2017
S39050658,obs124398,S39050658,US-SC,L6249768,33.819751,-78.722002,Stationary,TRUE,2017-05-25,8.466666666666667,5,0,1,0,0,0,NA,0,test_2017
S39048844,obs124398,S39048844,US-SC,L6249652,33.828759,-78.71407,Stationary,TRUE,2017-05-22,8.85,5,0,1,0,0,0,NA,0,test_2017
S39050906,obs124398,S39050906,US-SC,L6249922,33.836955,-78.734329,Stationary,TRUE,2017-05-25,10.416666666666666,5,0,1,0,0,0,NA,0,test_2017
S39049471,obs124398,S39049471,US-SC,L6249753,33.828918,-78.716298,Stationary,TRUE,2017-05-25,7.9,5,0,1,0,0,0,NA,0,test_2017
S39050698,obs124398,S39050698,US-SC,L6249892,33.827436,-78.728795,Stationary,TRUE,2017-05-25,9.1,5,0,1,0,0,0,NA,0,test_2017
S39206991,obs359146,S39206991,US-NC,L1663502,35.7156212,-75.4935891,Traveling,TRUE,2017-06-03,9.8,88,1.207,2,0,18,0,NA,0,test_2017
S39048888,obs124398,S39048888,US-SC,L6249661,33.823717,-78.717201,Stationary,TRUE,2017-05-22,9.65,5,0,1,0,0,0,NA,0,test_2017
S39048965,obs124398,S39048965,US-SC,L6249676,33.823268,-78.726802,Stationary,TRUE,2017-05-23,7.8,5,0,1,0,0,0,NA,0,test_2017
S39050938,obs124398,S39050938,US-SC,L6249928,33.834917,-78.734641,Stationary,TRUE,2017-05-25,10.933333333333334,5,0,1,0,0,0,NA,0,test_2017
S39049047,obs124398,S39049047,US-SC,L6249686,33.825957,-78.737542,Stationary,TRUE,2017-05-24,8,5,0,1,0,0,0,NA,0,test_2017
S39053627,obs290154,S39053627,US-VA,L3028165,38.2234905,-77.1772385,Stationary,TRUE,2017-06-22,19.566666666666666,5,0,1,0,0,3,NA,0,test_2017
S39220149,obs791599,S39220149,US-VA,L718750,36.7723,-76.1607,Traveling,TRUE,2017-06-16,7,60,3.219,2,0,0,0,NA,0,test_2017
S42223195,obs896875,S42223195,US-SC,L1645031,32.3817723,-80.6897702,Traveling,TRUE,2017-06-19,12.15,47,1.609,3,0,0,0,NA,0,test_2017
S39053615,obs290154,S39053615,US-VA,L2240612,38.2177866,-77.1740882,Traveling,TRUE,2017-06-25,18.75,35,0.322,1,1,0,1,NA,0,test_2017
S44090028,obs169470,S44090028,US-SC,L5785074,33.138131,-80.269872,Traveling,TRUE,2017-06-20,8.65,79,4.023,1,0,0,0,NA,0,test_2017
S39297412,obs178798,S39297412,US-NC,L6285393,34.7615435,-77.459026,Traveling,TRUE,2017-06-14,13,45,0.805,1,0,0,0,NA,0,test_2017
S51810919,obs451527,S51810919,US-SC,L8453857,34.2465658,-79.3326926,Stationary,TRUE,2017-06-01,10.05,3,0,1,0,0,0,NA,0,test_2017
S47805504,obs240252,S47805504,US-GA,L7815290,31.165683,-81.405887,Stationary,TRUE,2018-06-22,16.25,60,0,2,0,0,0,NA,0,train
S47821814,obs856370,S47821814,US-MS,L7818029,32.4112496,-88.5339527,Stationary,TRUE,2018-06-18,11.2,15,0,2,0,0,0,NA,0,train
S46673864,obs108909,S46673864,US-SC,L4920711,33.3199755,-81.7287636,Traveling,TRUE,2018-06-19,8,90,3.798,1,0,0,0,NA,0,train
S46679095,obs1050838,S46679095,US-NC,L7586330,34.336785,-78.067975,Stationary,TRUE,2018-06-12,7.35,120,0,1,0,2,0,NA,0,train
S47717548,obs235384,S47717548,US-VA,L7799477,37.1028203,-77.2806097,Stationary,TRUE,2018-06-07,12.65,10,0,1,0,0,0,NA,0,train
S47717801,obs235384,S47717801,US-VA,L7799477,37.1028203,-77.2806097,Stationary,TRUE,2018-06-25,13.7,26,0,1,0,0,0,NA,0,train
S51810693,obs451527,S51810693,US-SC,L8453829,34.2370354,-79.3434876,Stationary,TRUE,2017-06-01,10.25,3,0,1,0,0,0,NA,0,test_2017
S46673688,obs695521,S46673688,US-VA,L7500705,36.756891,-75.951019,Traveling,TRUE,2018-06-20,7.366666666666666,83,1.931,1,0,0,0,NA,0,train
S46675169,obs542151,S46675169,US-NC,L3001062,35.6821195,-75.482769,Traveling,TRUE,2018-06-20,7.433333333333334,164,2.739,1,0,3,0,NA,0,train
S46679654,obs259382,S46679654,US-GA,L3242960,30.9550209,-82.8836417,Stationary,TRUE,2018-06-20,6,60,0,1,0,0,0,NA,0,train
S46679695,obs7435,S46679695,US-VA,L4754705,38.2491433,-77.189243,Stationary,TRUE,2018-06-17,6.833333333333333,3,0,1,1,0,1,NA,0,train
S47799020,obs421398,S47799020,US-NC,L3785041,34.1329765,-77.8774881,Stationary,TRUE,2018-05-26,5.433333333333334,3,0,1,0,0,0,NA,0,train
S47717958,obs235384,S47717958,US-VA,L7799477,37.1028203,-77.2806097,Stationary,TRUE,2018-05-24,11.9,38,0,1,0,0,0,NA,0,train
S46678458,obs1050838,S46678458,US-NC,L7586330,34.336785,-78.067975,Stationary,TRUE,2018-06-16,7.25,120,0,1,0,1,0,NA,0,train
S46673423,obs274543,S46673423,US-SC,L7511172,32.231494,-80.72984,Stationary,TRUE,2018-06-20,8.25,10,0,1,0,0,0,NA,0,train
S46678728,obs7435,S46678728,US-VA,L4753855,38.1648336,-77.1980953,Traveling,TRUE,2018-06-17,5.416666666666667,6,0.805,1,0,0,0,NA,0,train
S46675190,obs252136,S46675190,US-SC,L1770549,32.1205422,-81.0645396,Stationary,TRUE,2018-06-20,10.133333333333333,4,0,1,0,0,0,NA,0,train
S51811064,obs451527,S51811064,US-SC,L8453888,34.2546435,-79.3236858,Stationary,TRUE,2017-06-01,9.95,3,0,1,0,0,0,NA,0,test_2017
S47717617,obs235384,S47717617,US-VA,L7799477,37.1028203,-77.2806097,Stationary,TRUE,2018-06-30,12.683333333333334,30,0,1,0,0,0,NA,0,train
S46679159,obs7435,S46679159,US-VA,L4753903,38.1797267,-77.184974,Traveling,TRUE,2018-06-17,5.75,30,3.219,1,0,0,0,NA,0,train
S46674128,obs751369,S46674128,US-VA,L4834040,37.5489307,-76.981861,Traveling,TRUE,2018-06-20,6.05,72,1.207,1,0,0,0,NA,0,train
S47799057,obs421398,S47799057,US-NC,L3785048,34.1258174,-77.8786871,Stationary,TRUE,2018-05-26,5.533333333333333,3,0,1,0,0,0,NA,0,train
S47745967,obs19149,S47745967,US-FL,L1328671,30.4297796,-84.3005751,Traveling,TRUE,2017-05-25,12.266666666666667,35,0.35,1,0,0,0,NA,0,test_2017
S46678798,obs1002256,S46678798,US-SC,L124353,33.5083,-79.0659,Traveling,TRUE,2018-06-20,12.266666666666667,55,1.738,1,0,3,0,NA,0,train
S46679532,obs7435,S46679532,US-VA,L4754635,38.229501,-77.1805623,Traveling,TRUE,2018-06-17,6.283333333333333,15,3.219,1,0,0,7,NA,0,train
S46266517,obs129304,S46266517,US-GA,L6089013,31.947325,-84.007089,Stationary,TRUE,2018-06-03,12.466666666666667,10,0,1,0,5,0,NA,0,train
S48350049,obs1035426,S48350049,US-VA,L718307,36.672127,-75.915661,Traveling,TRUE,2018-05-25,7.333333333333333,150,3.219,1,0,0,0,NA,0,train
S51692459,obs940905,S51692459,US-AL,L2743951,31.1755543,-85.9589878,Stationary,TRUE,2017-06-10,12.1,60,0,2,0,0,0,NA,0,test_2017
S42923707,obs1025290,S42923707,US-SC,L6942694,34.1943431,-79.6595864,Traveling,TRUE,2017-06-02,7.5,90,3.219,4,0,0,0,NA,0,test_2017
S47840610,obs359186,S47840610,US-VA,L7063992,36.8482357,-76.0796782,Stationary,TRUE,2018-06-13,16.933333333333334,15,0,2,0,0,0,NA,0,train
S47765351,obs875995,S47765351,US-VA,L718636,36.5733,-76.1598,Traveling,TRUE,2018-06-27,13.233333333333333,142,4.828,2,0,0,NA,NA,0,train
S47717877,obs235384,S47717877,US-VA,L7799477,37.1028203,-77.2806097,Stationary,TRUE,2018-06-15,13.133333333333333,15,0,1,0,0,0,NA,0,train
S47980321,obs339672,S47980321,US-FL,L7127122,30.24905,-84.2879579,Stationary,TRUE,2018-06-05,9,30,0,2,0,0,0,NA,0,train
S48241221,obs1043432,S48241221,US-NC,L7885806,35.5462193,-75.4667482,Stationary,TRUE,2018-06-19,12.666666666666666,27,0,1,0,0,0,NA,0,train
S47751099,obs1087146,S47751099,US-GA,L7780321,30.9837659,-83.3635795,Stationary,TRUE,2018-06-13,17,30,0,1,0,0,0,NA,0,train
S51642779,obs274633,S51642779,US-VA,L4086108,37.7709789,-76.5309331,Traveling,TRUE,2018-05-24,8.716666666666667,45,3.219,1,0,0,0,NA,0,train
S47751220,obs1087146,S47751220,US-GA,L7780321,30.9837659,-83.3635795,Stationary,TRUE,2018-06-11,15,60,0,1,0,0,0,NA,0,train
S47853404,obs414347,S47853404,US-NC,L3363964,36.4129941,-77.437225,Traveling,TRUE,2018-06-26,14.85,26,1.287,1,0,0,0,NA,0,train
S47716489,obs235384,S47716489,US-VA,L7799477,37.1028203,-77.2806097,Traveling,TRUE,2018-05-16,9.166666666666666,32,0.129,1,0,0,0,NA,0,train
S47751107,obs1087146,S47751107,US-GA,L7780321,30.9837659,-83.3635795,Stationary,TRUE,2018-06-14,17,30,0,1,0,0,0,NA,0,train
